año,inegi,entidad,municipio,modalidad,tipo,subtipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2011,14097,jalisco,tlajomulco de zuñiga,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0
2011,14097,jalisco,tlajomulco de zuñiga,homicidios,dolosos,otros,2.0,0.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0
2011,14097,jalisco,tlajomulco de zuñiga,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2011,14098,jalisco,tlaquepaque,delitos patrimoniales,extorsion,extorsion,8.0,3.0,2.0,0.0,5.0,5.0,2.0,5.0,0.0,1.0,2.0,6.0
2011,14098,jalisco,tlaquepaque,homicidios,dolosos,con arma de fuego,6.0,5.0,12.0,1.0,3.0,7.0,8.0,2.0,8.0,7.0,9.0,2.0
2011,14098,jalisco,tlaquepaque,homicidios,dolosos,con arma blanca,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,1.0,2.0
2011,14098,jalisco,tlaquepaque,homicidios,dolosos,otros,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0
2011,14098,jalisco,tlaquepaque,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2011,14101,jalisco,tonala,delitos patrimoniales,extorsion,extorsion,1.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0
2011,14101,jalisco,tonala,homicidios,dolosos,con arma de fuego,2.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0
2011,14101,jalisco,tonala,homicidios,dolosos,con arma blanca,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2011,14101,jalisco,tonala,homicidios,dolosos,otros,2.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0
2011,14101,jalisco,tonala,homicidios,dolosos,sin datos,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,14120,jalisco,zapopan,delitos patrimoniales,extorsion,extorsion,12.0,14.0,7.0,4.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0,8.0
2011,14120,jalisco,zapopan,homicidios,dolosos,con arma de fuego,13.0,18.0,11.0,10.0,7.0,19.0,13.0,24.0,11.0,6.0,12.0,15.0
2011,14120,jalisco,zapopan,homicidios,dolosos,con arma blanca,3.0,2.0,3.0,2.0,3.0,3.0,5.0,0.0,1.0,8.0,3.0,4.0
2011,14120,jalisco,zapopan,homicidios,dolosos,otros,4.0,3.0,6.0,4.0,2.0,3.0,8.0,2.0,4.0,1.0,2.0,13.0
2011,14120,jalisco,zapopan,homicidios,dolosos,sin datos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,15001,mexico,acambay,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15001,mexico,acambay,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15001,mexico,acambay,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15001,mexico,acambay,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15001,mexico,acambay,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15002,mexico,acolman,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15002,mexico,acolman,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
2011,15002,mexico,acolman,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2011,15002,mexico,acolman,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15002,mexico,acolman,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15003,mexico,aculco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15003,mexico,aculco,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,15003,mexico,aculco,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15003,mexico,aculco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15003,mexico,aculco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15004,mexico,almoloya de alquisiras,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15004,mexico,almoloya de alquisiras,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15004,mexico,almoloya de alquisiras,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15004,mexico,almoloya de alquisiras,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15004,mexico,almoloya de alquisiras,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15005,mexico,almoloya de juarez,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15005,mexico,almoloya de juarez,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2011,15005,mexico,almoloya de juarez,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15005,mexico,almoloya de juarez,homicidios,dolosos,otros,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
2011,15005,mexico,almoloya de juarez,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15006,mexico,almoloya del rio,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15006,mexico,almoloya del rio,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15006,mexico,almoloya del rio,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15006,mexico,almoloya del rio,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15006,mexico,almoloya del rio,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15007,mexico,amanalco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15007,mexico,amanalco,homicidios,dolosos,con arma de fuego,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0
2011,15007,mexico,amanalco,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2011,15007,mexico,amanalco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2011,15007,mexico,amanalco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15008,mexico,amatepec,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15008,mexico,amatepec,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15008,mexico,amatepec,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15008,mexico,amatepec,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,15008,mexico,amatepec,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15009,mexico,amecameca,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15009,mexico,amecameca,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15009,mexico,amecameca,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15009,mexico,amecameca,homicidios,dolosos,otros,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2011,15009,mexico,amecameca,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15010,mexico,apaxco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15010,mexico,apaxco,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,15010,mexico,apaxco,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2011,15010,mexico,apaxco,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15010,mexico,apaxco,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15011,mexico,atenco,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15011,mexico,atenco,homicidios,dolosos,con arma de fuego,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
