entidad,inegi,año,municipio,tipo,month,count
mexico,15003,2012,aculco,homicidio,enero,0.0
mexico,15003,2013,aculco,extorsion,enero,0.0
mexico,15003,2013,aculco,homicidio,enero,0.0
mexico,15003,2014,aculco,extorsion,enero,0.0
mexico,15003,2014,aculco,homicidio,enero,0.0
mexico,15004,2011,almoloya de alquisiras,extorsion,enero,0.0
mexico,15004,2011,almoloya de alquisiras,homicidio,enero,0.0
mexico,15004,2012,almoloya de alquisiras,extorsion,enero,0.0
mexico,15004,2012,almoloya de alquisiras,homicidio,enero,0.0
mexico,15004,2013,almoloya de alquisiras,extorsion,enero,0.0
mexico,15004,2013,almoloya de alquisiras,homicidio,enero,0.0
mexico,15004,2014,almoloya de alquisiras,extorsion,enero,0.0
mexico,15004,2014,almoloya de alquisiras,homicidio,enero,0.0
mexico,15005,2011,almoloya de juarez,extorsion,enero,0.0
mexico,15005,2011,almoloya de juarez,homicidio,enero,0.0
mexico,15005,2012,almoloya de juarez,extorsion,enero,0.0
mexico,15005,2012,almoloya de juarez,homicidio,enero,0.0
mexico,15005,2013,almoloya de juarez,extorsion,enero,0.0
mexico,15005,2013,almoloya de juarez,homicidio,enero,1.0
mexico,15005,2014,almoloya de juarez,extorsion,enero,0.0
mexico,15005,2014,almoloya de juarez,homicidio,enero,0.0
mexico,15006,2011,almoloya del rio,extorsion,enero,0.0
mexico,15006,2011,almoloya del rio,homicidio,enero,0.0
mexico,15006,2012,almoloya del rio,extorsion,enero,0.0
mexico,15006,2012,almoloya del rio,homicidio,enero,0.0
mexico,15006,2013,almoloya del rio,extorsion,enero,0.0
mexico,15006,2013,almoloya del rio,homicidio,enero,0.0
mexico,15006,2014,almoloya del rio,extorsion,enero,0.0
mexico,15006,2014,almoloya del rio,homicidio,enero,0.0
mexico,15007,2011,amanalco,extorsion,enero,0.0
mexico,15007,2011,amanalco,homicidio,enero,0.0
mexico,15007,2012,amanalco,extorsion,enero,0.0
mexico,15007,2012,amanalco,homicidio,enero,0.0
mexico,15007,2013,amanalco,extorsion,enero,0.0
mexico,15007,2013,amanalco,homicidio,enero,0.0
mexico,15007,2014,amanalco,extorsion,enero,0.0
mexico,15007,2014,amanalco,homicidio,enero,0.0
mexico,15008,2011,amatepec,extorsion,enero,0.0
mexico,15008,2011,amatepec,homicidio,enero,0.0
mexico,15008,2012,amatepec,extorsion,enero,0.0
mexico,15008,2012,amatepec,homicidio,enero,0.0
mexico,15008,2013,amatepec,extorsion,enero,0.0
mexico,15008,2013,amatepec,homicidio,enero,0.0
mexico,15008,2014,amatepec,extorsion,enero,0.0
mexico,15008,2014,amatepec,homicidio,enero,0.0
mexico,15009,2011,amecameca,extorsion,enero,0.0
mexico,15009,2011,amecameca,homicidio,enero,2.0
mexico,15009,2012,amecameca,extorsion,enero,3.0
mexico,15009,2012,amecameca,homicidio,enero,1.0
mexico,15009,2013,amecameca,extorsion,enero,0.0
mexico,15009,2013,amecameca,homicidio,enero,0.0
mexico,15009,2014,amecameca,extorsion,enero,1.0
mexico,15009,2014,amecameca,homicidio,enero,0.0
mexico,15010,2011,apaxco,extorsion,enero,0.0
mexico,15010,2011,apaxco,homicidio,enero,0.0
mexico,15010,2012,apaxco,extorsion,enero,0.0
mexico,15010,2012,apaxco,homicidio,enero,1.0
mexico,15010,2013,apaxco,extorsion,enero,0.0
mexico,15010,2013,apaxco,homicidio,enero,0.0
mexico,15010,2014,apaxco,extorsion,enero,0.0
mexico,15010,2014,apaxco,homicidio,enero,0.0
mexico,15011,2011,atenco,extorsion,enero,0.0
mexico,15011,2011,atenco,homicidio,enero,1.0
mexico,15011,2012,atenco,extorsion,enero,0.0
mexico,15011,2012,atenco,homicidio,enero,0.0
mexico,15011,2013,atenco,extorsion,enero,0.0
mexico,15011,2013,atenco,homicidio,enero,0.0
mexico,15011,2014,atenco,extorsion,enero,0.0
mexico,15011,2014,atenco,homicidio,enero,1.0
mexico,15012,2011,atizapan,extorsion,enero,0.0
mexico,15012,2011,atizapan,homicidio,enero,3.0
