entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14070,2013,el salto,extorsion,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0
jalisco,14070,2013,el salto,homicidio,6.0,6.0,4.0,4.0,5.0,3.0,2.0,2.0,9.0,2.0,6.0,5.0
jalisco,14070,2014,el salto,extorsion,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
jalisco,14070,2014,el salto,homicidio,4.0,1.0,4.0,2.0,1.0,5.0,2.0,3.0,3.0,3.0,0.0,0.0
jalisco,14093,2011,tepatitlan de morelos,extorsion,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
jalisco,14093,2011,tepatitlan de morelos,homicidio,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
jalisco,14093,2012,tepatitlan de morelos,extorsion,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
jalisco,14093,2012,tepatitlan de morelos,homicidio,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
jalisco,14093,2013,tepatitlan de morelos,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalisco,14093,2013,tepatitlan de morelos,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalisco,14093,2014,tepatitlan de morelos,extorsion,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
jalisco,14093,2014,tepatitlan de morelos,homicidio,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0
jalisco,14097,2011,tlajomulco de zuniga,extorsion,6.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,5.0
jalisco,14097,2011,tlajomulco de zuniga,homicidio,2.0,1.0,2.0,3.0,4.0,6.0,8.0,4.0,8.0,4.0,7.0,6.0
jalisco,14097,2012,tlajomulco de zuniga,extorsion,6.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,5.0
jalisco,14097,2012,tlajomulco de zuniga,homicidio,2.0,6.0,8.0,4.0,4.0,2.0,3.0,5.0,5.0,8.0,8.0,10.0
jalisco,14097,2013,tlajomulco de zuniga,extorsion,2.0,0.0,6.0,0.0,2.0,0.0,1.0,1.0,4.0,6.0,4.0,5.0
jalisco,14097,2013,tlajomulco de zuniga,homicidio,2.0,10.0,8.0,2.0,6.0,4.0,3.0,9.0,6.0,5.0,5.0,3.0
jalisco,14097,2014,tlajomulco de zuniga,extorsion,3.0,3.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0
jalisco,14097,2014,tlajomulco de zuniga,homicidio,3.0,4.0,12.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,10.0
jalisco,14098,2011,tlaquepaque,extorsion,8.0,3.0,2.0,0.0,5.0,5.0,2.0,5.0,0.0,1.0,2.0,6.0
jalisco,14098,2011,tlaquepaque,homicidio,9.0,9.0,13.0,3.0,6.0,7.0,10.0,6.0,14.0,13.0,12.0,10.0
jalisco,14098,2012,tlaquepaque,extorsion,8.0,3.0,2.0,0.0,5.0,5.0,2.0,5.0,0.0,1.0,2.0,6.0
jalisco,14098,2012,tlaquepaque,homicidio,9.0,9.0,16.0,6.0,8.0,12.0,5.0,7.0,12.0,8.0,12.0,10.0
