entidad,inegi,año,municipio,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
jalisco,14070,2013,el salto,6.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,12.0,2.0,7.0,7.0
jalisco,14070,2014,el salto,7.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,3.0,3.0,0.0,0.0
jalisco,14070,2015,el salto,2.0,2.0,4.0,4.0,3.0,0.0,4.0,4.0,2.0,2.0,4.0,3.0
jalisco,14070,2016,el salto,0.0,6.0,5.0,0.0,5.0,7.0,6.0,5.0,2.0,5.0,3.0,3.0
jalisco,14070,2017,el salto,2.0,4.0,1.0,8.0,2.0,3.0,4.0,4.0,5.0,2.0,6.0,5.0
jalisco,14070,2018,el salto,8.0,12.0,9.0,13.0,4.0,6.0,7.0,13.0,11.0,12.0,12.0,12.0
jalisco,14070,2019,el salto,15.0,6.0,7.0,11.0,2.0,17.0,10.0,7.0,10.0,7.0,11.0,5.0
jalisco,14093,2011,tepatitlan de morelos,0.0,2.0,5.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0
jalisco,14093,2012,tepatitlan de morelos,0.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0
jalisco,14093,2013,tepatitlan de morelos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jalisco,14093,2014,tepatitlan de morelos,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0
jalisco,14093,2015,tepatitlan de morelos,3.0,4.0,3.0,0.0,5.0,2.0,9.0,3.0,1.0,4.0,8.0,2.0
jalisco,14093,2016,tepatitlan de morelos,3.0,3.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,8.0,3.0
jalisco,14093,2017,tepatitlan de morelos,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,4.0
jalisco,14093,2018,tepatitlan de morelos,1.0,1.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0
jalisco,14093,2019,tepatitlan de morelos,2.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,2.0,6.0
jalisco,14097,2011,tlajomulco de zuniga,8.0,1.0,4.0,4.0,8.0,7.0,8.0,5.0,10.0,4.0,9.0,11.0
jalisco,14097,2012,tlajomulco de zuniga,8.0,6.0,10.0,5.0,8.0,3.0,3.0,6.0,7.0,8.0,10.0,15.0
jalisco,14097,2013,tlajomulco de zuniga,4.0,10.0,14.0,2.0,8.0,4.0,4.0,10.0,10.0,11.0,9.0,8.0
jalisco,14097,2014,tlajomulco de zuniga,6.0,7.0,16.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,7.0,11.0
jalisco,14097,2015,tlajomulco de zuniga,11.0,8.0,8.0,8.0,5.0,15.0,13.0,12.0,11.0,9.0,11.0,13.0
jalisco,14097,2016,tlajomulco de zuniga,10.0,9.0,8.0,9.0,13.0,10.0,18.0,20.0,13.0,22.0,15.0,10.0
jalisco,14097,2017,tlajomulco de zuniga,19.0,11.0,18.0,11.0,14.0,12.0,18.0,21.0,15.0,7.0,14.0,19.0
jalisco,14097,2018,tlajomulco de zuniga,13.0,16.0,29.0,13.0,32.0,24.0,24.0,19.0,22.0,35.0,25.0,32.0
jalisco,14097,2019,tlajomulco de zuniga,27.0,20.0,27.0,31.0,35.0,33.0,20.0,32.0,27.0,31.0,22.0,18.0
jalisco,14098,2011,tlaquepaque,17.0,12.0,15.0,3.0,11.0,12.0,12.0,11.0,14.0,14.0,14.0,16.0
jalisco,14098,2012,tlaquepaque,17.0,12.0,18.0,6.0,13.0,17.0,7.0,12.0,12.0,9.0,14.0,16.0
jalisco,14098,2013,tlaquepaque,8.0,16.0,14.0,10.0,17.0,14.0,21.0,10.0,6.0,10.0,21.0,14.0
jalisco,14098,2014,tlaquepaque,17.0,8.0,30.0,19.0,15.0,18.0,9.0,13.0,5.0,13.0,14.0,9.0
jalisco,14098,2015,tlaquepaque,4.0,12.0,10.0,10.0,10.0,11.0,24.0,10.0,11.0,17.0,12.0,11.0
jalisco,14098,2016,tlaquepaque,9.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,14.0,17.0,17.0,15.0
jalisco,14098,2017,tlaquepaque,11.0,11.0,8.0,12.0,15.0,14.0,14.0,18.0,11.0,26.0,23.0,24.0
jalisco,14098,2018,tlaquepaque,26.0,30.0,22.0,36.0,21.0,25.0,38.0,40.0,30.0,40.0,32.0,31.0
jalisco,14098,2019,tlaquepaque,42.0,34.0,17.0,26.0,35.0,36.0,27.0,20.0,34.0,29.0,22.0,19.0
jalisco,14101,2011,tonala,5.0,7.0,10.0,11.0,9.0,8.0,6.0,6.0,6.0,4.0,7.0,2.0
jalisco,14101,2012,tonala,6.0,8.0,6.0,7.0,13.0,12.0,7.0,9.0,7.0,7.0,12.0,6.0
jalisco,14101,2013,tonala,10.0,12.0,9.0,4.0,10.0,8.0,8.0,9.0,11.0,14.0,9.0,12.0
jalisco,14101,2014,tonala,13.0,14.0,9.0,14.0,7.0,6.0,7.0,6.0,11.0,7.0,3.0,5.0
jalisco,14101,2015,tonala,7.0,9.0,5.0,9.0,10.0,11.0,8.0,5.0,11.0,10.0,7.0,10.0
jalisco,14101,2016,tonala,7.0,1.0,8.0,3.0,7.0,11.0,10.0,12.0,10.0,6.0,9.0,7.0
jalisco,14101,2017,tonala,13.0,16.0,11.0,8.0,10.0,16.0,11.0,18.0,7.0,18.0,16.0,11.0
jalisco,14101,2018,tonala,10.0,13.0,16.0,12.0,13.0,16.0,10.0,9.0,15.0,11.0,17.0,17.0
jalisco,14101,2019,tonala,16.0,29.0,24.0,22.0,15.0,17.0,15.0,11.0,16.0,11.0,15.0,11.0
jalisco,14120,2011,zapopan,32.0,37.0,27.0,20.0,22.0,31.0,35.0,34.0,24.0,22.0,26.0,40.0
jalisco,14120,2012,zapopan,23.0,19.0,17.0,26.0,21.0,18.0,34.0,25.0,27.0,27.0,25.0,16.0
jalisco,14120,2013,zapopan,23.0,37.0,44.0,29.0,29.0,33.0,25.0,21.0,26.0,34.0,29.0,27.0
jalisco,14120,2014,zapopan,30.0,38.0,46.0,28.0,21.0,21.0,18.0,16.0,10.0,12.0,13.0,17.0
jalisco,14120,2015,zapopan,24.0,12.0,16.0,26.0,24.0,32.0,21.0,20.0,31.0,33.0,23.0,21.0
jalisco,14120,2016,zapopan,22.0,19.0,27.0,14.0,31.0,30.0,23.0,23.0,24.0,30.0,24.0,13.0
