entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
jalisco,14063,2011,ocotlan,enero,1.0,1,106050,9.42,0.9429514380009429
jalisco,14063,2012,ocotlan,enero,7.0,13,106050,9.42,6.600660066006601
jalisco,14063,2013,ocotlan,enero,10.0,25,106050,9.42,9.42951438000943
jalisco,14063,2014,ocotlan,enero,1.0,37,106050,9.42,0.9429514380009429
jalisco,14063,2015,ocotlan,enero,1.0,49,106050,9.42,0.9429514380009429
jalisco,14063,2016,ocotlan,enero,1.0,61,106050,9.42,0.9429514380009429
jalisco,14063,2017,ocotlan,enero,1.0,73,106050,9.42,0.9429514380009429
jalisco,14063,2018,ocotlan,enero,1.0,85,106050,9.42,0.9429514380009429
jalisco,14063,2019,ocotlan,enero,4.0,97,106050,9.42,3.7718057520037718
jalisco,14067,2011,puerto vallarta,enero,3.0,1,291839,10.31,1.0279640486706711
jalisco,14067,2012,puerto vallarta,enero,4.0,13,291839,10.31,1.3706187315608949
jalisco,14067,2013,puerto vallarta,enero,4.0,25,291839,10.31,1.3706187315608949
jalisco,14067,2014,puerto vallarta,enero,4.0,37,291839,10.31,1.3706187315608949
jalisco,14067,2015,puerto vallarta,enero,10.0,49,291839,10.31,3.426546828902237
jalisco,14067,2016,puerto vallarta,enero,2.0,61,291839,10.31,0.6853093657804474
jalisco,14067,2017,puerto vallarta,enero,6.0,73,291839,10.31,2.0559280973413423
jalisco,14067,2018,puerto vallarta,enero,9.0,85,291839,10.31,3.0838921460120132
jalisco,14067,2019,puerto vallarta,enero,4.0,97,291839,10.31,1.3706187315608949
jalisco,14070,2011,el salto,enero,2.0,1,232852,8.92,0.8589146754161442
jalisco,14070,2012,el salto,enero,1.0,13,232852,8.92,0.4294573377080721
jalisco,14070,2013,el salto,enero,6.0,25,232852,8.92,2.5767440262484325
jalisco,14070,2014,el salto,enero,7.0,37,232852,8.92,3.0062013639565044
jalisco,14070,2015,el salto,enero,2.0,49,232852,8.92,0.8589146754161442
jalisco,14070,2016,el salto,enero,0.0,61,232852,8.92,0.0
jalisco,14070,2017,el salto,enero,2.0,73,232852,8.92,0.8589146754161442
jalisco,14070,2018,el salto,enero,8.0,85,232852,8.92,3.4356587016645768
jalisco,14070,2019,el salto,enero,15.0,97,232852,8.92,6.441860065621081
