entidad,inegi,año,municipio,month,homicides,xmonth
mexico,15020,2013,coacalco de berriozabal,enero,2.0,25
mexico,15020,2014,coacalco de berriozabal,enero,3.0,37
mexico,15021,2011,coatepec harinas,enero,0.0,1
mexico,15021,2012,coatepec harinas,enero,0.0,13
mexico,15021,2013,coatepec harinas,enero,0.0,25
mexico,15021,2014,coatepec harinas,enero,1.0,37
mexico,15022,2011,cocotitlan,enero,0.0,1
mexico,15022,2012,cocotitlan,enero,1.0,13
mexico,15022,2013,cocotitlan,enero,0.0,25
mexico,15022,2014,cocotitlan,enero,0.0,37
mexico,15023,2011,coyotepec,enero,0.0,1
mexico,15023,2012,coyotepec,enero,3.0,13
mexico,15023,2013,coyotepec,enero,0.0,25
mexico,15023,2014,coyotepec,enero,1.0,37
mexico,15024,2011,cuautitlan,enero,1.0,1
mexico,15024,2012,cuautitlan,enero,1.0,13
mexico,15024,2013,cuautitlan,enero,0.0,25
mexico,15024,2014,cuautitlan,enero,0.0,37
mexico,15025,2011,chalco,enero,4.0,1
mexico,15025,2012,chalco,enero,7.0,13
mexico,15025,2013,chalco,enero,3.0,25
mexico,15025,2014,chalco,enero,5.0,37
mexico,15026,2011,chapa de mota,enero,0.0,1
mexico,15026,2012,chapa de mota,enero,0.0,13
mexico,15026,2013,chapa de mota,enero,0.0,25
mexico,15026,2014,chapa de mota,enero,0.0,37
mexico,15027,2011,chapultepec,enero,0.0,1
mexico,15027,2012,chapultepec,enero,0.0,13
mexico,15027,2013,chapultepec,enero,0.0,25
mexico,15027,2014,chapultepec,enero,0.0,37
mexico,15028,2011,chiautla,enero,0.0,1
mexico,15028,2012,chiautla,enero,0.0,13
mexico,15028,2013,chiautla,enero,0.0,25
mexico,15028,2014,chiautla,enero,0.0,37
mexico,15029,2011,chicoloapan,enero,0.0,1
mexico,15029,2012,chicoloapan,enero,2.0,13
mexico,15029,2013,chicoloapan,enero,1.0,25
mexico,15029,2014,chicoloapan,enero,4.0,37
mexico,15030,2011,chiconcuac,enero,0.0,1
mexico,15030,2012,chiconcuac,enero,0.0,13
mexico,15030,2013,chiconcuac,enero,0.0,25
mexico,15030,2014,chiconcuac,enero,0.0,37
mexico,15031,2011,chimalhuacan,enero,0.0,1
mexico,15031,2012,chimalhuacan,enero,6.0,13
mexico,15031,2013,chimalhuacan,enero,10.0,25
mexico,15031,2014,chimalhuacan,enero,19.0,37
mexico,15032,2011,donato guerra,enero,0.0,1
mexico,15032,2012,donato guerra,enero,1.0,13
mexico,15032,2013,donato guerra,enero,0.0,25
mexico,15032,2014,donato guerra,enero,0.0,37
mexico,15033,2011,ecatepec de morelos,enero,22.0,1
mexico,15033,2012,ecatepec de morelos,enero,40.0,13
mexico,15033,2013,ecatepec de morelos,enero,19.0,25
mexico,15033,2014,ecatepec de morelos,enero,23.0,37
mexico,15034,2011,ecatzingo,enero,0.0,1
mexico,15034,2012,ecatzingo,enero,0.0,13
mexico,15034,2013,ecatzingo,enero,0.0,25
mexico,15034,2014,ecatzingo,enero,0.0,37
mexico,15035,2011,huehuetoca,enero,1.0,1
mexico,15035,2012,huehuetoca,enero,1.0,13
mexico,15035,2013,huehuetoca,enero,0.0,25
mexico,15035,2014,huehuetoca,enero,1.0,37
mexico,15036,2011,hueypoxtla,enero,0.0,1
mexico,15036,2012,hueypoxtla,enero,0.0,13
mexico,15036,2013,hueypoxtla,enero,0.0,25
mexico,15036,2014,hueypoxtla,enero,1.0,37
mexico,15037,2011,huixquilucan,enero,0.0,1
mexico,15037,2012,huixquilucan,enero,1.0,13
mexico,15037,2013,huixquilucan,enero,2.0,25
mexico,15037,2014,huixquilucan,enero,3.0,37
mexico,15038,2011,isidro fabela,enero,0.0,1
mexico,15038,2012,isidro fabela,enero,0.0,13
mexico,15038,2013,isidro fabela,enero,0.0,25
mexico,15038,2014,isidro fabela,enero,0.0,37
mexico,15039,2011,ixtapaluca,enero,3.0,1
mexico,15039,2012,ixtapaluca,enero,4.0,13
mexico,15039,2013,ixtapaluca,enero,3.0,25
mexico,15039,2014,ixtapaluca,enero,2.0,37
mexico,15040,2011,ixtapan de la sal,enero,0.0,1
mexico,15040,2012,ixtapan de la sal,enero,0.0,13
mexico,15040,2013,ixtapan de la sal,enero,0.0,25
mexico,15040,2014,ixtapan de la sal,enero,0.0,37
mexico,15041,2011,ixtapan del oro,enero,0.0,1
mexico,15041,2012,ixtapan del oro,enero,0.0,13
mexico,15041,2013,ixtapan del oro,enero,0.0,25
mexico,15041,2014,ixtapan del oro,enero,0.0,37
mexico,15042,2011,ixtlahuaca,enero,0.0,1
mexico,15042,2012,ixtlahuaca,enero,2.0,13
mexico,15042,2013,ixtlahuaca,enero,0.0,25
mexico,15042,2014,ixtlahuaca,enero,2.0,37
mexico,15043,2011,xalatlaco,enero,0.0,1
mexico,15043,2012,xalatlaco,enero,1.0,13
mexico,15043,2013,xalatlaco,enero,0.0,25
mexico,15043,2014,xalatlaco,enero,0.0,37
mexico,15044,2011,jaltenco,enero,0.0,1
mexico,15044,2012,jaltenco,enero,0.0,13
mexico,15044,2013,jaltenco,enero,0.0,25
mexico,15044,2014,jaltenco,enero,1.0,37
mexico,15045,2011,jilotepec,enero,0.0,1
mexico,15045,2012,jilotepec,enero,3.0,13
mexico,15045,2013,jilotepec,enero,2.0,25
mexico,15045,2014,jilotepec,enero,1.0,37
mexico,15046,2011,jilotzingo,enero,1.0,1
mexico,15046,2012,jilotzingo,enero,0.0,13
mexico,15046,2013,jilotzingo,enero,0.0,25
mexico,15046,2014,jilotzingo,enero,2.0,37
mexico,15047,2011,jiquipilco,enero,0.0,1
mexico,15047,2012,jiquipilco,enero,0.0,13
mexico,15047,2013,jiquipilco,enero,1.0,25
mexico,15047,2014,jiquipilco,enero,0.0,37
mexico,15048,2011,jocotitlan,enero,0.0,1
mexico,15048,2012,jocotitlan,enero,0.0,13
mexico,15048,2013,jocotitlan,enero,0.0,25
mexico,15048,2014,jocotitlan,enero,0.0,37
mexico,15049,2011,joquicingo,enero,0.0,1
mexico,15049,2012,joquicingo,enero,0.0,13
mexico,15049,2013,joquicingo,enero,1.0,25
mexico,15049,2014,joquicingo,enero,0.0,37
mexico,15050,2011,juchitepec,enero,0.0,1
mexico,15050,2012,juchitepec,enero,0.0,13
mexico,15050,2013,juchitepec,enero,0.0,25
mexico,15050,2014,juchitepec,enero,0.0,37
mexico,15051,2011,lerma,enero,1.0,1
mexico,15051,2012,lerma,enero,3.0,13
mexico,15051,2013,lerma,enero,3.0,25
mexico,15051,2014,lerma,enero,0.0,37
mexico,15052,2011,malinalco,enero,1.0,1
mexico,15052,2012,malinalco,enero,0.0,13
mexico,15052,2013,malinalco,enero,1.0,25
mexico,15052,2014,malinalco,enero,0.0,37
mexico,15053,2011,melchor ocampo,enero,1.0,1
mexico,15053,2012,melchor ocampo,enero,0.0,13
mexico,15053,2013,melchor ocampo,enero,0.0,25
mexico,15053,2014,melchor ocampo,enero,3.0,37
mexico,15054,2011,metepec,enero,0.0,1
mexico,15054,2012,metepec,enero,2.0,13
mexico,15054,2013,metepec,enero,0.0,25
mexico,15054,2014,metepec,enero,3.0,37
mexico,15055,2011,mexicaltzingo,enero,0.0,1
mexico,15055,2012,mexicaltzingo,enero,0.0,13
mexico,15055,2013,mexicaltzingo,enero,0.0,25
mexico,15055,2014,mexicaltzingo,enero,0.0,37
mexico,15056,2011,morelos,enero,0.0,1
mexico,15056,2012,morelos,enero,0.0,13
mexico,15056,2013,morelos,enero,0.0,25
mexico,15056,2014,morelos,enero,1.0,37
mexico,15057,2011,naucalpan de juarez,enero,7.0,1
mexico,15057,2012,naucalpan de juarez,enero,15.0,13
mexico,15057,2013,naucalpan de juarez,enero,12.0,25
mexico,15057,2014,naucalpan de juarez,enero,17.0,37
mexico,15058,2011,nezahualcoyotl,enero,12.0,1
mexico,15058,2012,nezahualcoyotl,enero,23.0,13
mexico,15058,2013,nezahualcoyotl,enero,14.0,25
mexico,15058,2014,nezahualcoyotl,enero,17.0,37
mexico,15059,2011,nextlalpan,enero,0.0,1
mexico,15059,2012,nextlalpan,enero,1.0,13
mexico,15059,2013,nextlalpan,enero,1.0,25
mexico,15059,2014,nextlalpan,enero,1.0,37
mexico,15060,2011,nicolas romero,enero,0.0,1
mexico,15060,2012,nicolas romero,enero,5.0,13
mexico,15060,2013,nicolas romero,enero,2.0,25
mexico,15060,2014,nicolas romero,enero,1.0,37
mexico,15061,2011,nopaltepec,enero,0.0,1
mexico,15061,2012,nopaltepec,enero,0.0,13
mexico,15061,2013,nopaltepec,enero,1.0,25
mexico,15061,2014,nopaltepec,enero,0.0,37
mexico,15062,2011,ocoyoacac,enero,0.0,1
mexico,15062,2012,ocoyoacac,enero,0.0,13
mexico,15062,2013,ocoyoacac,enero,0.0,25
mexico,15062,2014,ocoyoacac,enero,2.0,37
mexico,15063,2011,ocuilan,enero,0.0,1
mexico,15063,2012,ocuilan,enero,0.0,13
mexico,15063,2013,ocuilan,enero,1.0,25
mexico,15063,2014,ocuilan,enero,0.0,37
mexico,15064,2011,el oro,enero,0.0,1
mexico,15064,2012,el oro,enero,1.0,13
mexico,15064,2013,el oro,enero,1.0,25
mexico,15064,2014,el oro,enero,0.0,37
mexico,15065,2011,otumba,enero,0.0,1
mexico,15065,2012,otumba,enero,0.0,13
mexico,15065,2013,otumba,enero,0.0,25
mexico,15065,2014,otumba,enero,1.0,37
mexico,15066,2011,otzoloapan,enero,0.0,1
mexico,15066,2012,otzoloapan,enero,0.0,13
mexico,15066,2013,otzoloapan,enero,0.0,25
mexico,15066,2014,otzoloapan,enero,0.0,37
mexico,15067,2011,otzolotepec,enero,1.0,1
mexico,15067,2012,otzolotepec,enero,2.0,13
mexico,15067,2013,otzolotepec,enero,2.0,25
mexico,15067,2014,otzolotepec,enero,0.0,37
mexico,15068,2011,ozumba,enero,0.0,1
mexico,15068,2012,ozumba,enero,0.0,13
mexico,15068,2013,ozumba,enero,0.0,25
mexico,15068,2014,ozumba,enero,0.0,37
mexico,15069,2011,papalotla,enero,0.0,1
mexico,15069,2012,papalotla,enero,0.0,13
mexico,15069,2013,papalotla,enero,0.0,25
mexico,15069,2014,papalotla,enero,0.0,37
mexico,15070,2011,la paz,enero,2.0,1
mexico,15070,2012,la paz,enero,3.0,13
mexico,15070,2013,la paz,enero,2.0,25
mexico,15070,2014,la paz,enero,3.0,37
mexico,15071,2011,polotitlan,enero,0.0,1
mexico,15071,2012,polotitlan,enero,0.0,13
