año,clave_ent,entidad,cve. municipio,municipio,bien jurídico afectado,tipo de delito,subtipo de delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2015,14,jalisco,14007,san juanito de escobedo,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14007,san juanito de escobedo,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14008,arandas,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14008,arandas,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14008,arandas,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14008,arandas,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14008,arandas,el patrimonio,extorsión,extorsión,extorsión,0,2,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2015,14,jalisco,14009,el arenal,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,14,jalisco,14009,el arenal,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14009,el arenal,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,14,jalisco,14009,el arenal,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2015,14,jalisco,14009,el arenal,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14010,atemajac de brizuela,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14010,atemajac de brizuela,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14010,atemajac de brizuela,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14010,atemajac de brizuela,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14010,atemajac de brizuela,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14011,atengo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14011,atengo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14011,atengo,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14011,atengo,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14011,atengo,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14012,atenguillo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14012,atenguillo,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14012,atenguillo,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14012,atenguillo,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14012,atenguillo,el patrimonio,extorsión,extorsión,extorsión,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14013,atotonilco el alto,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,1,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
2015,14,jalisco,14013,atotonilco el alto,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14013,atotonilco el alto,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14013,atotonilco el alto,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14013,atotonilco el alto,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2015,14,jalisco,14014,atoyac,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14014,atoyac,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
